mauritius (british colony),NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mexico,17500,5000,5000,5000,5000,5000,5000,6000,6000,62825,50000,35083.333333333336,5250,5250,5250,5125,5000,30333.333333333332,5000,5000,5000,65000
mongolia,NA,NA,NA,NA,NA,NA,36333,NA,NA,NA,NA,46000,NA,NA,48570,NA,NA,59800,NA,NA,58048,58048
"mongolia, outer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46000,46000,46000,48570,48570,48570,48600,NA,NA,NA,NA,NA
mongolian people's republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58000,58000,NA,NA
morocco,NA,NA,NA,NA,NA,NA,1250,NA,NA,1250,1250,1250,500,500,550,600,400,350,300,300,350,300
mozambique,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA
mozambique (see portuguese africa),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA
namibia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
namibia (south west africa),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
nepal,NA,NA,NA,NA,NA,NA,3250,NA,NA,3000,3500,3500,6000,7500,8000,8000,9000,8500,10000,5000,5000,5000
netherlands,50000,NA,NA,NA,NA,NA,15000,NA,NA,12000,12000,12000,12000,12000,11500,NA,NA,10500,10000,10000,10000,10000
netherlands possessions (west. hemisphere),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
netherlands realm members (western hemisphere) listed separately,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
new zealand,2000,NA,NA,NA,NA,NA,400,NA,NA,500,500,500,400,400,400,400,400,400,300,300,240,100
nicaragua,1250,500,500,200,200,200,200,300,300,250,250,233.33333333333334,200,200,200,200,150,166.66666666666666,100,100,NA,NA
niger,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
niger (see council of the entente),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
